music_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,0.08904393626269869,0.5712768034666964,0.10580929272598183,0.5611506516125627,0.2354543417449274,0.9112540072192324,0.7999837195546331,0.4235402142857142,0.6875784183644819,0.007339150667971972
2,0.8589468477131573,0.4417273720410948,0.49910445615234345,0.8854871320363964,0.7037762931597773,0.30315431673723936,0.8784650304759738,0.10803648502906693,0.057411492330112446,0.13922668881045008
3,0.9564030075181451,0.4176545781680864,0.20560745633362187,0.1012421785626254,0.29631068303084296,0.13889214787728077,0.5315234061102864,0.4906287254180697,0.9895034985337103,0.6019846759267266
4,0.1796771635189528,0.20550546518636092,0.09634631220883827,0.33008331930413926,0.20272248243534152,0.1231488718390995,0.7511814182152928,0.5237234360338704,0.5279241559057877,0.9558103437904706
5,0.28148560056617555,0.37996900613067053,0.2410828616422137,0.35349842424748323,0.4642869165417044,0.03211301621089646,0.15347079249387707,0.3694407645090363,0.5284288186824003,0.06649554746200248
6,0.43749232142660077,0.2282531550183583,0.06518019923161711,0.1251796024492916,0.6157586761506824,0.7425353814398712,0.09797277023523521,0.1606630311878482,0.4451194149991732,0.032807440548267786
7,0.709598278216727,0.685523271764805,0.46402602073920207,0.93351548925293,0.5503982768105659,0.6031436360875216,0.6945185950873539,0.5331450876690589,0.9209844959563073,0.5032014299583673
8,0.8510091753429351,0.5067733081503151,0.9615477302079549,0.03232916032516242,0.6576284604091627,0.8551855501093296,0.7913505210531452,0.9442413440021946,0.3814586823121312,0.4938600768493818
9,0.7391953920360629,0.18833339646758707,0.5971377458244885,0.41010196940627375,0.733206151868642,0.9152142664164699,0.7250360831369528,0.5493668502038659,0.1272385908877619,0.5694335076952195
10,0.14463697665911823,0.3524455234680318,0.12802510707836823,0.20739527577490158,0.5592908676274901,0.8548396418229168,0.6251016853211135,0.4210125402614606,0.027895759927521246,0.4893868486577506
11,0.004792745851826208,0.24414479393327626,0.8259971862529324,0.994017480947656,0.6303450816816428,0.8441660557745413,0.17482212930472074,0.3046366386073105,0.12111847265359732,0.3653867924646126
12,0.5554172567182725,0.8002734684735235,0.00706923700854778,0.5854759468874916,0.00865739777800234,0.2370663679992161,0.12348737051102898,0.3535475343179332,0.46097806087505444,0.7389575287973931
13,0.28589484114071895,0.38211087460891335,0.7182970515804084,0.38048170601986897,0.2215508165105835,0.1679919853302989,0.2069686713448068,0.9581890074408275,0.8234185862587489,0.5815390937248395
14,0.5358987282218323,0.6107343498449581,0.04099391948612474,0.2596426484895351,0.7755410614114522,0.8770833634515565,0.5915180522270918,0.5901893619028676,0.7670597214666571,0.3164180206405799
15,0.03242489210524502,0.1923515527879497,0.33415587866993457,0.359185727174519,0.35588515807471033,0.0632043118300657,0.5759461105923077,0.009392659916765633,0.07294446164250912,0.6294217029484842
16,0.29042144968033656,0.7172860648994217,0.5776819750608754,0.5112912252153397,0.6190759486644348,0.29487614801555884,0.160877061308354,0.08022154668857306,0.331804006343665,0.7681550873959769
17,0.9487656127914573,0.8370016342800958,0.1880839439701798,0.97052303318503,0.9474981395156357,0.8829369181066001,0.6951159820253499,0.7699553472351525,0.9590264433870194,0.8027879516879322
18,0.2811671317540477,0.8751424456006122,0.00453399544702604,0.05805692664466355,0.891828133222209,0.03572343900410502,0.08732102329518288,0.7605520349029962,0.560606939399249,0.5759002502345822
19,0.743411897979604,0.8464179095195918,0.8038766474544721,0.9572223167506412,0.49645128158200924,0.8585949236127932,0.23585363280895277,0.52239603244204,0.7347655375170691,0.443720373977027
20,0.003643413604517476,0.178405680870664,0.24153295673045472,0.823113249741077,0.47992945395825437,0.8411487578262357,0.21302504797242372,0.3922594169581415,0.6505863000033837,0.4736022260768845
21,0.42483484135012406,0.14337984573032858,0.6440888807080092,0.7716346661755424,0.6761894204267199,0.6875161236026329,0.0412528197614358,0.7078673028989577,0.16559347195934837,0.04581691837112167
22,0.9886056752602121,0.01987164977420497,0.013333383087344108,0.008392930809267729,0.019212560046522942,0.7302988104528348,0.34798953708778724,0.12154845158245486,0.37130527529216184,0.47792401780106686
23,0.6659665878709482,0.29717150466235975,0.9271688438767881,0.8903212068943075,0.2220600055378198,0.7949312462686214,0.9252107029884281,0.472680280747687,0.2526648675442096,0.47605492285489603
24,0.6976924620285276,0.5035090865265451,0.6743535337203274,0.8489788001369093,0.26806994017343166,0.8759801547640667,0.40390749490123934,0.3377601868398361,0.3364013235947063,0.6340859012343834
25,0.3538045217111313,0.7971441882864708,0.03143604173416992,0.9219029293783763,0.8277360349924402,0.19570721853309847,0.12017661588721118,0.6448292708224953,0.1120402966068551,0.5357657658092574
26,0.7274208756913983,0.2476105590775003,0.7465058573753273,0.9591873594225622,0.08164963859083552,0.6652178863732312,0.23852049203981185,0.42639747913211234,0.042237963850122906,0.25832811264713484
27,0.30209584949399637,0.7339894945935717,0.32532463325747685,0.5320782294424662,0.2244127972949148,0.35600093111240083,0.6163020266545817,0.4730969302460658,0.7979377575531006,0.04038532717512533
28,0.9693380035815844,0.4255041684336154,0.14483191173026133,0.08802815693646204,0.7585061462473023,0.45490953313659366,0.4615378953270076,0.169196809705784,0.5298039525668478,0.8188315466100681
29,0.4565831411254905,0.08281851003304863,0.8620284250950468,0.14901683097778418,0.03914937406916719,0.32808642396775245,0.4368683051861115,0.5691646810635677,0.34573761843219,0.7571128871487462
30,0.5901007551704532,0.1154634146897544,0.47225300388249347,0.4869259773666149,0.07058980594079345,0.5365930175210083,0.12192125841979973,0.1983011454642407,0.6446091785787973,0.9750912295911915
31,0.4765132767147374,0.6970379954820101,0.5481276987329451,0.40324967352446095,0.6297484306706654,0.6943963812434675,0.2701894037380499,0.09036972584149949,0.6939172675306966,0.858418144583018
32,0.47237686332825424,0.47751808648048943,0.6949143068494995,0.5478126554280922,0.2245418642792799,0.20009085204823607,0.9066329481828047,0.14992073955287832,0.532038063112019,0.6363083545287842
33,0.13341019757698802,0.8387710918669319,0.14751889698840714,0.7350155288258874,0.9133480928972921,0.6912015722830467,0.9554474476916458,0.23831072520133068,0.8425080429029221,0.9691090989803557
34,0.8287645354339738,0.770579899034405,0.37165903817433976,0.7344668206479902,0.7236557742603099,0.9892553542239803,0.09534007291819768,0.03233403191789508,0.3142133965655953,0.5709418291744884
35,0.3427860700017663,0.1444807699862657,0.6804000693572997,0.48558917017167846,0.6060410253040674,0.3083770860361503,0.8519891221957249,0.8192221578349684,0.3060838675625652,0.07466316890878422
36,0.7885198421274789,0.5646691544941345,0.9500341748736777,0.4222686828329496,0.7034570825846598,0.1978535887472942,0.6181364343036627,0.7710300094019918,0.403256789334947,0.07953288063491581
37,0.299157403771635,0.429608190335802,0.525967767210014,0.14108133647229637,0.010638323729293409,0.8123549946044071,0.10331246974426056,0.45894029798666014,0.2630785179149042,0.9475602983103306
38,0.7767753883289458,0.759675624115643,0.02223301629881036,0.0697673714224093,0.029939801027442425,0.2124449382229503,0.05883770193166116,0.7784375893884263,0.2984213086107058,0.9195101082237311
39,0.9678722831611662,0.03290701922159389,0.41382330279100465,0.5760664875636731,0.9842426004741013,0.42203127544845465,0.12417909131048965,0.4889372292843027,0.6529434675235035,0.986915199467138
40,0.6379847346755384,0.33925952580130925,0.8091435709400585,0.6855850049816714,0.921847567023628,0.8269006241518903,0.4896584064817834,0.5103788120689339,0.4714107804010842,0.7396603088385915
41,0.4317642782754144,0.8440622014558046,0.6253375354541313,0.15988314605112108,0.7411663725417617,0.8679041188529814,0.045022082574304845,0.9682352411214461,0.37755161806314397,0.8687247091254229
42,0.04906283346955698,0.10212838793610435,0.7016290312332838,0.84275587622061,0.4102625214912662,0.5487266879026292,0.6897414594981001,0.5478815332308948,0.8088032402952425,0.2736701206985527
43,0.9532652435533118,0.6464298463448216,0.38687482225665537,0.8454194401157408,0.275634174196291,0.342412538291204,0.7241430774827651,0.2436459039592228,0.8460333469517275,0.632575698984833
44,0.5975668742747253,0.6617470920642835,0.4644220164011724,0.0342917727844424,0.8297595440738266,0.9264812079873531,0.1545574296563289,0.060214954372752705,0.6368540532093222,0.8343699629899315
45,0.482609975359944,0.6499473362465434,0.6226615052773252,0.2587905903761871,0.3505635585771266,0.6195453690244354,0.27098380513440035,0.5011505867426842,0.9549071342105299,0.1937651013204933
46,0.6281861155141356,0.4448541101060378,0.19595144747965954,0.5646692046088134,0.9509970184991057,0.7646901834524495,0.7179255127783415,0.2567290147900462,0.701443587383915,0.667345924456979
47,0.34675897343344964,0.10872790218459993,0.163478289794054,0.11251144140745395,0.9453978301298197,0.7751363208496919,0.6426026494590756,0.09212084483462657,0.3767954019630515,0.799509919540668
48,0.6899246247921708,0.47993537816460363,0.6705443022868033,0.09001489991778122,0.0692405370613135,0.10831991540662456,0.8472184142559328,0.41215829127024795,0.7983586901489578,0.09728120887146285
49,0.15790767841762243,0.16864651238817285,0.05061785431299293,0.15341508383086266,0.6429646944737333,0.07645514429765798,0.8703510122200756,0.4855618396217888,0.571782510998526,0.2747433936284731
50,0.5851912919505797,0.028024494265959987,0.12805205883655135,0.8099082052604474,0.2067883917827662,0.8653440719646538,0.029842126432686578,0.9242263872147083,0.9195870709635543,0.24112676589476612
51,0.15164110300715983,0.2340344066746931,0.9281335738164455,0.5128105052576645,0.12844709098106066,0.23937929404547142,0.1806125894783004,0.7361391283157604,0.9273077134182468,0.7752716887326371
